## Site Characteristics
        Country='The Netherlands'
        Station='370 Eindhoven'
        Description=''
        Source='KNMI'
        Contact='Herman Berghuijs (herman.berghuijs@wur.nl)'
        Longitude=5.377;Latitude=51.451;Elevation=22.6;AngstromA=0.158;AngstromB=0.534;HasSunshine=False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20201019,6170,7.2,14.4,0.948852,2.4,0,-999
20201020,1930,7.2,15.5,1.134036,4,1.1,-999
20201021,4770,12.2,20.9,1.411333,6.8,5.6,-999
20201022,4840,9.6,18.2,1.3815,3.8,1.3,-999
20201023,5090,8,17.7,1.326281,2.7,0,-999
20201024,3430,11.8,15.9,1.339805,6,0.4,-999
20201025,1850,9.3,15.8,1.208605,4.8,5.9,-999
20201026,4570,8.5,12.8,1.03719,4.8,0,-999
20201027,3730,7.3,12,0.995812,5.9,2.5,-999
20201028,5960,8.7,14.4,1.078812,5.9,8.1,-999
20201029,3150,7.8,13.2,1.125531,5.7,5,-999
20201030,2170,12.9,16.1,1.435355,6.3,0.5,-999
20201031,5950,9.5,17,1.170658,4.4,1.7,-999
2020111,2930,9.1,17.9,1.334201,5.7,1,-999
2020112,2390,9.8,20.2,1.404376,7.5,6.8,-999
2020113,6840,5.6,13,0.851401,5.3,0,-999
2020114,6820,-0.1,12.2,0.744789,2,0,-999
2020115,7300,-1.5,11.7,0.731534,0.7,0,-999
2020116,6910,1.1,12.8,0.701081,2.5,0,-999
2020117,6160,3.8,15.2,0.9457,2.1,0,-999
2020118,2420,4.2,13.3,1.007472,1.8,0.3,-999
2020119,4290,7.7,18.2,1.225702,1.6,0,-999
20201110,5120,6.9,17.2,1.253034,1.6,1.5,-999
20201111,3300,8.6,14.6,1.265019,2.3,0,-999
20201112,3170,5.7,13.1,1.007922,4.5,1.5,-999
20201113,2480,4.9,13.6,1.055277,3.5,2.7,-999
20201114,4520,9.7,15.7,1.246793,4.2,0,-999
20201115,2330,9.4,16.3,1.162603,6.9,8.7,-999
20201116,2620,8.4,12.9,1.048545,6,0,-999
20201117,1810,10.1,13.1,1.188884,6.1,0.4,-999
20201118,5680,9.7,16,1.023679,5.2,0,-999
20201119,2650,1.9,14.1,0.899445,4.6,4.8,-999
20201120,3650,0,8.6,0.679209,2.8,0.1,-999
20201121,2480,2.8,10.4,0.817795,6,0,-999
20201122,1250,6.1,10.3,1.029884,4,1.6,-999
20201123,5020,1.4,10.6,0.743605,2.3,0,-999
20201124,5030,4.6,11.6,0.907402,3.2,0,-999
20201125,3120,3,10.5,0.833523,3,0,-999
20201126,1430,6.4,10,0.969706,1.6,0,-999
20201127,2280,4.6,8,0.849241,1.8,0,-999
20201128,2690,2.6,7.8,0.770394,3.3,0,-999
20201129,2050,-5.2,4.1,0.530864,2.5,0,-999
20201130,980,-5.4,6.7,0.651638,4,4.4,-999
2020121,1840,6.1,9.7,0.906678,4.6,5.9,-999
2020122,410,4.6,6.6,0.859119,2,0.6,-999
2020123,860,4.9,6.1,0.805807,4.6,2.5,-999
2020124,2000,0.7,8.1,0.641239,5,0.5,-999
2020125,2850,-2.4,5.8,0.568543,2.7,0,-999
2020126,1440,-1.1,3.8,0.620973,1.9,0,-999
2020127,770,-0.8,3.5,0.651297,3.3,7.9,-999
2020128,2470,-2,5.2,0.598988,1.3,0,-999
2020129,1310,-2.7,3.1,0.589957,3,0,-999
20201210,2710,-1,3.1,0.58444,2.3,0,-999
20201211,1430,-0.6,4.9,0.650294,3.7,3.7,-999
20201212,920,4.9,9,0.975527,2.8,0.9,-999
20201213,2600,5.3,8.9,0.875493,4.2,0,-999
20201214,1220,7.7,11.5,1.047296,4.7,4.3,-999
20201215,860,3.1,10.4,0.980683,2.8,4.9,-999
20201216,2940,2.6,10,0.890145,2.7,0,-999
20201217,2430,6.5,11.2,0.968319,4.7,1.8,-999
20201218,3750,5.2,11.7,0.901439,4.1,0,-999
20201219,2350,4.5,12.3,0.919317,4.3,0,-999
20201220,2190,4.3,11,0.895774,4.3,0,-999
20201221,810,4.4,12.8,1.052913,5.2,6.7,-999
20201222,1540,9.7,14.1,1.22527,4.8,2.9,-999
20201223,640,9,12.4,1.115486,4.6,9.6,-999
20201224,1030,2.3,9.2,0.819547,3.9,1.2,-999
20201225,3500,-0.9,6.5,0.625859,2.8,0,-999
20201226,1810,0.8,5.4,0.677209,6.2,0.2,-999
20201227,580,4,6.5,0.76381,8.8,4.7,-999
20201228,2160,1.9,5.3,0.69164,2.7,0.6,-999
20201229,1100,-0.1,4.8,0.671311,3.5,0.8,-999
20201230,1380,-0.4,5.5,0.679079,4.1,0.5,-999
20201231,1550,1.4,3.4,0.685891,1.7,0.3,-999
202111,2670,0.2,5.5,0.687549,2.7,0,-999
202112,1120,1.3,3.8,0.697688,2.2,0.2,-999
202113,730,2.5,3.7,0.656927,4.4,0.1,-999
202114,740,1.8,3.3,0.652429,5.2,0.5,-999
202115,580,1.8,3.4,0.662141,4.5,0.1,-999
202116,1320,0.6,3.5,0.63597,3.4,0.5,-999
202117,1360,0.2,3.1,0.658546,3.4,4,-999
202118,1330,-3.8,3.8,0.583402,1.9,4,-999
202119,4360,-5,5.4,0.571755,1.3,0,-999
2021110,3920,-3.8,4.7,0.565681,2,0,-999
2021111,1060,0.8,6.1,0.72677,6,1.7,-999
2021112,2380,-1.2,8.4,0.635118,5,15.4,-999
2021113,2990,-0.1,5.4,0.640875,3.8,0,-999
2021114,1750,-0.9,3.8,0.559196,3.3,0,-999
2021115,1090,-3.4,1.9,0.501332,2.2,0,-999
2021116,1490,-0.9,1.9,0.500938,3.3,3.3,-999
2021117,3510,-0.4,7.7,0.726875,2.9,1.9,-999
2021118,2420,2.1,6.1,0.735458,5.3,0.1,-999
2021119,740,4.2,9.7,0.877292,8.5,11,-999
2021120,2740,6.3,11.7,0.76747,7.2,0,-999
2021121,2700,5.3,12.9,0.854626,8.2,10.1,-999
2021122,4050,0.3,6.8,0.693101,3.9,2.2,-999
2021123,1920,0.2,5.1,0.677004,3.3,4.5,-999
2021124,4900,0.3,4.6,0.628226,3.4,3,-999
2021125,5540,0.5,4.7,0.636064,3.4,0.4,-999
2021126,3490,2.4,6.6,0.667781,4.5,5.5,-999
2021127,830,1.5,6.3,0.71273,4.8,1.6,-999
2021128,1260,5.3,9,1.002183,2.3,17.3,-999
2021129,3010,5.5,11.5,0.971807,6.1,11.1,-999
2021130,2640,-0.3,5.5,0.584978,5.6,0,-999
2021131,6050,-3,3.3,0.497173,4,0.4,-999
202121,1640,1.7,3.5,0.703474,2.3,0.2,-999
202122,1690,1.9,10.7,0.948077,3.6,9.9,-999
202123,980,7.7,10.3,1.047481,3.6,19.5,-999
202124,5200,4,10.4,0.873713,3.5,0.1,-999
202125,3700,3.4,11.6,0.918615,2.1,0.3,-999
202126,1890,-0.9,6.6,0.709948,5.4,4.4,-999
202127,1730,-4.8,-0.6,0.450019,6.2,3.7,-999
202128,4430,-7.9,-4.6,0.315904,6.5,1.3,-999
202129,8290,-10,-3.3,0.286602,3.5,0,-999
2021210,5660,-11,-1.8,0.314021,3.3,0,-999
2021211,10330,-11.3,-0.9,0.291063,2.1,0,-999
2021212,9510,-8.5,-3.6,0.285446,4.9,0,-999
2021213,9920,-8.8,-0.2,0.280706,3.8,0,-999
2021214,8950,-5.7,4.8,0.29229,3.9,0,-999
2021215,2440,0.9,4.9,0.528442,4.7,2.4,-999
2021216,5900,4.5,13.1,0.834869,4.7,1.4,-999
2021217,5510,7.3,12.5,0.979887,5.6,0.2,-999
2021218,3850,4.4,13.3,0.855536,4.5,5.9,-999
2021219,7590,2.7,11.4,0.797874,4.2,0,-999
2021220,9400,8.4,17.8,0.95766,4,0,-999
2021221,10170,7.9,18.5,0.862786,3.4,0,-999
2021222,5850,9.5,17.7,0.829052,3.5,0,-999
2021223,8140,7.6,19.3,1.037707,4.5,0,-999
2021224,11050,10.2,19.6,1.035924,4.3,0,-999
2021225,9040,6.4,17.6,0.97421,3.1,8.2,-999
2021226,9250,0.2,10.9,0.65576,2.7,0.1,-999
2021227,7880,0,8.7,0.693525,1.8,0,-999
2021228,11400,-1.4,11.1,0.71834,3.2,0,-999
202131,9220,2.7,8.9,0.787111,3.9,0,-999
202132,12300,-0.2,16,0.71016,2,0,-999
202133,9780,2,16.5,0.824444,2,0.2,-999
202134,1390,3.2,4.8,0.69397,2.6,6.1,-999
202135,13940,-3,6.9,0.396826,3.5,0,-999
202136,12890,-4.8,7.2,0.462122,2.1,0,-999
202137,11320,-5.5,6.8,0.440775,1.9,0,-999
202138,10500,-0.5,9.8,0.552689,1.8,0,-999
202139,3020,1.8,7.5,0.724455,3.3,2.8,-999
2021310,5570,2.3,10.9,0.711862,5.3,1.3,-999
2021311,8690,6.2,14.4,0.909726,9.6,6.2,-999
2021312,4550,4,9.4,0.727128,7.8,4.8,-999
2021313,6230,4.1,9.6,0.715558,8.4,12.9,-999
2021314,8670,3.1,9.9,0.750541,4.9,6.2,-999
2021315,10140,5.2,9.5,0.801537,4.8,3.5,-999
2021316,4600,3.2,7.1,0.791401,2.8,5,-999
2021317,6200,1.7,7.3,0.732144,3.8,1.9,-999
2021318,5180,-2.1,7.2,0.670501,2.1,1.4,-999
2021319,16150,-0.3,9.5,0.515403,4.7,0,-999
2021320,16530,-2.1,9.9,0.512673,2.8,0.2,-999
2021321,7070,2.6,8.4,0.686088,4.2,0.1,-999
2021322,6040,-1.1,8.7,0.641788,2,0,-999
2021323,13260,1.7,13.6,0.794443,2.7,0,-999
2021324,16480,0.4,16.4,0.699823,2.7,0,-999
2021325,8250,3.3,13,0.854451,3,0,-999
2021326,12410,5.1,15.1,0.820795,5.5,0.9,-999
2021327,14430,2,10.7,0.601872,5.8,7.3,-999
2021328,12360,5.3,14.2,0.756713,6,0,-999
2021329,18770,6.7,21.1,0.683027,4.7,0,-999
2021330,18940,2.3,23.6,0.590198,1.5,0,-999
2021331,18450,4.7,25.3,0.760912,1.4,0,-999
202141,17480,3.7,17.5,0.860346,3.8,0,-999
202142,11450,1.9,9.4,0.686625,4.6,0,-999
202143,14470,2.9,12.2,0.678826,3.6,0,-999
202144,8080,1.9,8.9,0.691581,2.8,0,-999
202145,11300,0,6.5,0.525499,6.5,3.1,-999
202146,12140,-0.7,4.6,0.64623,4.3,10.3,-999
202147,8820,-1,6.8,0.584535,5.4,10.6,-999
202148,13660,0,9.7,0.545827,4.3,0.1,-999
202149,16480,2.2,13.7,0.643325,3.6,0,-999
2021410,3490,3.6,7.6,0.827118,4.4,11.2,-999
2021411,6890,-1.6,8.1,0.565895,3.9,0.6,-999
